target,city_dev_z,training_hours_z,experience_z,company_size_z,last_new_job_z,city_code,gender_code,rel_exp_code,enrolled_uni_code,edu_level_code,major_disc_code,company_type_code
1.000000,0.738919,-0.200322,1.614339,-0.261855,-0.588135,5.000000,1.000000,0.000000,3.000000,0.000000,4.000000,5.000000
0.000000,-0.428410,0.075140,0.724894,-0.424593,1.816493,77.000000,1.000000,1.000000,3.000000,0.000000,4.000000,4.000000
0.000000,-1.660590,0.667393,-0.757516,-0.261855,-1.189292,64.000000,2.000000,1.000000,0.000000,0.000000,4.000000,5.000000
1.000000,-0.323026,0.180010,-1.424601,-0.261855,-1.189292,14.000000,2.000000,1.000000,2.000000,0.000000,1.000000,4.000000
0.000000,-0.501368,-1.696461,1.614339,-0.424593,1.215336,50.000000,1.000000,0.000000,3.000000,2.000000,4.000000,1.000000
1.000000,-0.525687,-0.615228,0.131930,-0.261855,-0.588135,57.000000,2.000000,0.000000,1.000000,0.000000,4.000000,5.000000
0.000000,0.738919,-0.615228,-0.757516,-0.424593,-0.588135,49.000000,1.000000,0.000000,3.000000,1.000000,5.000000,1.000000
1.000000,-0.541900,-0.905670,0.428412,-0.474749,1.816493,83.000000,1.000000,0.000000,3.000000,0.000000,4.000000,4.000000
1.000000,0.738919,0.052859,-0.461034,-0.424593,-0.588135,5.000000,1.000000,0.000000,3.000000,0.000000,4.000000,4.000000
0.000000,0.738919,1.079571,1.021376,-0.261855,1.816493,5.000000,2.000000,0.000000,3.000000,0.000000,4.000000,4.000000
1.000000,-1.660590,-0.321405,-1.202239,-0.261855,-1.189292,64.000000,2.000000,1.000000,0.000000,1.000000,5.000000,5.000000
0.000000,0.738919,0.943118,-0.757516,4.933826,-0.588135,5.000000,1.000000,0.000000,3.000000,0.000000,4.000000,4.000000
0.000000,0.682174,-0.658431,1.614339,1.686300,0.614179,91.000000,1.000000,0.000000,3.000000,0.000000,4.000000,4.000000
0.000000,-1.660590,-0.615228,-1.202239,-0.261855,-1.189292,64.000000,1.000000,1.000000,2.000000,5.000000,5.000000,5.000000
0.000000,-1.660590,-0.533779,-0.757516,-0.261855,-1.189292,64.000000,2.000000,1.000000,0.000000,1.000000,5.000000,5.000000
0.000000,0.787558,-0.905670,0.873135,-0.261855,1.816493,13.000000,1.000000,0.000000,3.000000,0.000000,4.000000,4.000000
0.000000,0.738919,0.923519,-1.350480,-0.424593,-1.189292,5.000000,2.000000,0.000000,3.000000,0.000000,4.000000,4.000000
0.000000,-1.660590,-1.821113,-1.202239,4.933826,0.013022,64.000000,2.000000,0.000000,3.000000,0.000000,4.000000,4.000000
1.000000,-1.660590,-0.658431,-0.461034,-0.261855,-1.189292,64.000000,2.000000,0.000000,3.000000,0.000000,4.000000,4.000000
1.000000,-0.014981,1.153725,-0.905757,-0.261855,-0.588135,26.000000,0.000000,0.000000,3.000000,0.000000,0.000000,5.000000
0.000000,0.114722,0.459210,0.131930,-0.261855,-0.588135,47.000000,1.000000,0.000000,3.000000,2.000000,4.000000,4.000000
0.000000,0.787558,0.139301,0.131930,-0.261855,0.013022,13.000000,1.000000,0.000000,3.000000,2.000000,4.000000,4.000000
0.000000,-0.201429,0.096962,-0.016311,-0.261855,-0.588135,4.000000,2.000000,0.000000,3.000000,2.000000,4.000000,5.000000
0.000000,-0.428410,0.412166,-1.424601,1.686300,-0.588135,77.000000,1.000000,0.000000,3.000000,0.000000,2.000000,4.000000
0.000000,-1.660590,-1.228861,-0.757516,1.686300,-0.588135,64.000000,2.000000,0.000000,3.000000,0.000000,4.000000,4.000000
0.000000,0.212000,-0.703472,-0.905757,-0.261855,-1.189292,95.000000,2.000000,1.000000,3.000000,1.000000,5.000000,5.000000
1.000000,-1.660590,1.273947,0.576653,0.062536,-0.588135,64.000000,2.000000,0.000000,1.000000,0.000000,4.000000,4.000000
0.000000,0.738919,0.518850,-0.757516,-0.261855,0.013022,5.000000,1.000000,0.000000,3.000000,0.000000,0.000000,5.000000
1.000000,0.471406,-1.696461,0.131930,-0.474749,-0.588135,2.000000,1.000000,0.000000,3.000000,1.000000,5.000000,4.000000
1.000000,-1.660590,0.459210,1.169616,-0.424593,0.013022,64.000000,1.000000,0.000000,3.000000,0.000000,4.000000,1.000000
0.000000,0.738919,-0.091681,1.614339,-0.261855,0.614179,5.000000,1.000000,0.000000,3.000000,0.000000,4.000000,4.000000
0.000000,0.738919,1.223021,1.317857,4.933826,1.816493,5.000000,1.000000,0.000000,1.000000,0.000000,4.000000,4.000000
0.000000,0.738919,-0.615228,-0.757516,-0.261855,-0.588135,5.000000,0.000000,1.000000,0.000000,0.000000,4.000000,5.000000
0.000000,0.738919,0.654718,1.614339,-0.261855,1.816493,49.000000,0.000000,0.000000,3.000000,0.000000,4.000000,4.000000
0.000000,0.657855,1.252421,0.280171,4.933826,0.614179,48.000000,1.000000,0.000000,3.000000,0.000000,1.000000,4.000000
0.000000,0.738919,1.621893,-0.016311,-0.261855,0.013022,5.000000,1.000000,0.000000,3.000000,0.000000,4.000000,0.000000
0.000000,0.787558,1.301983,-1.350480,-0.261855,-0.588135,13.000000,1.000000,1.000000,1.000000,1.000000,5.000000,5.000000
1.000000,0.787558,-0.041276,1.614339,-0.261855,1.215336,13.000000,1.000000,0.000000,3.000000,3.000000,4.000000,4.000000
0.000000,0.738919,0.139301,0.280171,-0.261855,1.215336,5.000000,2.000000,1.000000,3.000000,0.000000,4.000000,5.000000
0.000000,0.447087,0.923519,-1.053998,-0.261855,-1.189292,99.000000,1.000000,1.000000,3.000000,5.000000,5.000000,5.000000
0.000000,0.787558,-1.155845,0.873135,1.686300,0.013022,13.000000,0.000000,0.000000,0.000000,2.000000,4.000000,3.000000
0.000000,0.771345,-0.200322,-0.905757,-0.261855,0.013022,6.000000,1.000000,0.000000,3.000000,1.000000,5.000000,4.000000
1.000000,-1.660590,0.981259,-0.609275,-0.424593,-0.588135,64.000000,2.000000,0.000000,3.000000,2.000000,4.000000,0.000000
0.000000,-1.320119,0.943118,-0.164552,-0.424593,-1.189292,93.000000,2.000000,1.000000,3.000000,0.000000,3.000000,4.000000
1.000000,-1.660590,-1.821113,-0.164552,4.933826,0.614179,64.000000,1.000000,0.000000,1.000000,2.000000,4.000000,4.000000
1.000000,-1.660590,-0.533779,-0.757516,-0.261855,-1.189292,64.000000,0.000000,1.000000,0.000000,2.000000,4.000000,5.000000
1.000000,-1.660590,0.716626,-0.757516,-0.261855,-1.189292,64.000000,1.000000,0.000000,3.000000,0.000000,4.000000,4.000000
